State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Gujarat,7,2017-18,Revised Estimates,1314,8725,5.2,81.1,18.9,,,,,,,,,,,,
Gujarat,7,2017-18,Actuals,1291,8571,5.4,81.2,18.8,,,,,,,,,,,,
Gujarat,7,2018-19,Budget Estimates,1445,9725,5.3,78.9,21.1,,,,,,,,,,,,
Gujarat,7,2018-19,Revised Estimates,1557,10484,5.6,79.4,20.6,,,,,,,,,,,,
Gujarat,7,2018-19,Actuals,1499,10094,5.7,78.6,21.4,,,,,,,,,,,,
Gujarat,7,2019-20,Budget Estimates,1539,10506,5.2,88.0,12.0,,,,,,,,,,,,
Gujarat,7,2019-20,Revised Estimates,1582,10796,5.6,89.8,10.2,,,,,,,,,,,,
Gujarat,7,2019-20,Actuals,1512,10318,5.6,89.4,10.6,,,,,,,,,,,,
Gujarat,7,2020-21,Budget Estimates,1625,11243,5.3,91.8,8.2,,,,,,,,,,,,
Gujarat,7,2020-21,Revised Estimates,1625,11243,5.9,93.4,6.6,,,,,,,,,,,,
Gujarat,7,2020-21,Actuals,1590,10998,5.6,93.4,6.6,,,,,,,,,,,,
Gujarat,7,2021-22,Budget Estimates,1615,11320,5.1,92.3,7.7,,,,,,,,,,,,
Gujarat,7,2021-22,Revised Estimates,2074,14535,6.7,90.0,10.0,,,,,,,,,,,,
Gujarat,7,2022-23,Budget Estimates,1733,12237,5.1,85.6,14.4,,,,,,,,,,,,
Haryana,8,2016-17,Actuals,1103,3044,3.8,92.0,8.0,,,,,,,,,,,,
Haryana,8,2017-18,Budget Estimates,1454,4071,4.4,83.5,16.5,,,,,,,,,,,,
Haryana,8,2017-18,Revised Estimates,1363,3815,4.1,87.8,12.2,,,,,,,,,,,,
Haryana,8,2017-18,Actuals,1206,3376,3.8,91.0,9.0,,,,,,,,,,,,
Haryana,8,2018-19,Budget Estimates,1679,4769,4.6,84.9,15.1,,,,,,,,,,,,
Haryana,8,2018-19,Revised Estimates,1576,4475,4.4,83.5,16.5,,,,,,,,,,,,
Haryana,8,2018-19,Actuals,1412,4011,4.3,91.7,8.3,,,,,,,,,,,,
Haryana,8,2019-20,Budget Estimates,1741,5016,4.5,87.6,12.4,,,,,,,,,,,,
Haryana,8,2019-20,Revised Estimates,1838,5296,4.9,88.9,11.1,,,,,,,,,,,,
Haryana,8,2019-20,Actuals,1730,4983,4.8,89.8,10.2,,,,,,,,,,,,
Haryana,8,2020-21,Budget Estimates,2229,6512,5.4,85.5,14.5,,,,,,,,,,,,
Haryana,8,2020-21,Revised Estimates,2136,6240,6.0,86.4,13.6,,,,,,,,,,,,
Haryana,8,2020-21,Actuals,2002,5847,6.0,86.9,13.1,,,,,,,,,,,,
Haryana,8,2021-22,Budget Estimates,2472,7317,5.7,84.4,15.6,,,,,,,,,,,,
Haryana,8,2021-22,Revised Estimates,2460,7284,5.8,87.8,12.2,,,,,,,,,,,,
Haryana,8,2022-23,Budget Estimates,2884,8595,6.0,82.9,17.1,,,,,,,,,,,,
Himachal Pradesh,9,2016-17,Actuals,2501,1794,5.2,84.1,15.9,,,,,,,,,,,,
Himachal Pradesh,9,2017-18,Budget Estimates,2723,1966,5.5,95.0,5.0,,,,,,,,,,,,
Himachal Pradesh,9,2017-18,Revised Estimates,2786,2012,5.6,86.9,13.1,,,,,,,,,,,,
Himachal Pradesh,9,2017-18,Actuals,2794,2017,5.9,87.0,13.0,,,,,,,,,,,,
Himachal Pradesh,9,2018-19,Budget Estimates,3528,2564,6.2,89.0,11.0,,,,,,,,,,,,
Himachal Pradesh,9,2018-19,Revised Estimates,3097,2251,5.4,84.6,15.4,,,,,,,,,,,,
Himachal Pradesh,9,2018-19,Actuals,3093,2248,6.0,84.6,15.4,,,,,,,,,,,,
Himachal Pradesh,9,2019-20,Budget Estimates,3781,2766,6.2,91.6,8.4,,,,,,,,,,,,
Himachal Pradesh,9,2019-20,Revised Estimates,3178,2325,5.2,90.0,10.0,,,,,,,,,,,,
Himachal Pradesh,9,2019-20,Actuals,3171,2320,5.9,90.0,10.0,,,,,,,,,,,,
Himachal Pradesh,9,2020-21,Budget Estimates,4077,3002,6.1,92.3,7.7,,,,,,,,,,,,
Himachal Pradesh,9,2020-21,Revised Estimates,4171,3071,6.3,86.5,13.5,,,,,,,,,,,,
Himachal Pradesh,9,2020-21,Actuals,3427,2523,5.9,88.0,12.0,,,,,,,,,,,,
Himachal Pradesh,9,2021-22,Budget Estimates,4053,3002,6.2,94.6,5.4,,,,,,,,,,,,
Himachal Pradesh,9,2021-22,Revised Estimates,4523,3350,7.2,90.3,9.7,,,,,,,,,,,,
Himachal Pradesh,9,2022-23,Budget Estimates,4115,3058,6.2,94.9,5.1,,,,,,,,,,,,
Jharkhand,10,2016-17,Actuals,690,2483,4.2,79.4,20.6,,,,,,,,,,,,
Jharkhand,10,2017-18,Budget Estimates,855,3121,4.1,85.5,14.5,,,,,,,,,,,,
Jharkhand,10,2017-18,Revised Estimates,979,3573,4.7,87.2,12.8,,,,,,,,,,,,
